product_id,name,category,supplier,current_stock,reorder_level,purchase_price,selling_price,lead_time,historical_sales
P0001,Product 1,Toys,Supplier A,304,22,178.75,256.88,5,"{'Day-1': 15, 'Day-2': 41, 'Day-3': 20, 'Day-4': 14, 'Day-5': 25, 'Day-6': 9, 'Day-7': 45, 'Day-8': 3, 'Day-9': 7, 'Day-10': 41}"
P0002,Product 2,Toys,Supplier C,251,58,174.02,219.46,2,"{'Day-1': 17, 'Day-2': 2, 'Day-3': 24, 'Day-4': 30, 'Day-5': 43, 'Day-6': 2, 'Day-7': 33, 'Day-8': 39, 'Day-9': 11, 'Day-10': 46}"
P0003,Product 3,Home & Kitchen,Supplier A,126,90,155.84,220.6,5,"{'Day-1': 12, 'Day-2': 43, 'Day-3': 30, 'Day-4': 36, 'Day-5': 4, 'Day-6': 35, 'Day-7': 41, 'Day-8': 24, 'Day-9': 37, 'Day-10': 30}"
P0004,Product 4,Clothing,Supplier B,493,69,152.4,168.42,10,"{'Day-1': 45, 'Day-2': 30, 'Day-3': 49, 'Day-4': 10, 'Day-5': 18, 'Day-6': 26, 'Day-7': 42, 'Day-8': 26, 'Day-9': 30, 'Day-10': 8}"
P0005,Product 5,Books,Supplier A,246,31,400.81,510.68,5,"{'Day-1': 41, 'Day-2': 22, 'Day-3': 2, 'Day-4': 4, 'Day-5': 39, 'Day-6': 16, 'Day-7': 3, 'Day-8': 3, 'Day-9': 1, 'Day-10': 3}"
P0006,Product 6,Groceries,Supplier C,464,28,441.48,558.28,2,"{'Day-1': 14, 'Day-2': 23, 'Day-3': 11, 'Day-4': 42, 'Day-5': 48, 'Day-6': 46, 'Day-7': 0, 'Day-8': 23, 'Day-9': 18, 'Day-10': 0}"
P0007,Product 7,Clothing,Supplier D,142,83,326.79,373.67,5,"{'Day-1': 36, 'Day-2': 20, 'Day-3': 46, 'Day-4': 11, 'Day-5': 28, 'Day-6': 20, 'Day-7': 44, 'Day-8': 48, 'Day-9': 15, 'Day-10': 16}"
P0008,Product 8,Clothing,Supplier A,488,98,444.09,660.94,14,"{'Day-1': 35, 'Day-2': 47, 'Day-3': 4, 'Day-4': 48, 'Day-5': 17, 'Day-6': 22, 'Day-7': 35, 'Day-8': 37, 'Day-9': 46, 'Day-10': 31}"
P0009,Product 9,Home & Kitchen,Supplier C,427,66,355.46,452.65,2,"{'Day-1': 27, 'Day-2': 3, 'Day-3': 13, 'Day-4': 27, 'Day-5': 49, 'Day-6': 5, 'Day-7': 45, 'Day-8': 10, 'Day-9': 43, 'Day-10': 12}"
P0010,Product 10,Home & Kitchen,Supplier C,121,22,420.98,552.07,5,"{'Day-1': 18, 'Day-2': 15, 'Day-3': 37, 'Day-4': 25, 'Day-5': 0, 'Day-6': 15, 'Day-7': 7, 'Day-8': 34, 'Day-9': 11, 'Day-10': 15}"
